epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,868.416,1.53448,0.77165,0.99164,0.77553,0.69755,0.72986,0.3073,1.96022,1.07089,1.24227,0.000990365,0.000990365,0.000990365
43,888.397,1.50037,0.75161,0.98713,0.792,0.68105,0.7388,0.30983,1.97258,0.99876,1.22008,0.000973861,0.000973861,0.000973861
44,909.819,1.50122,0.76309,0.98784,0.7181,0.7439,0.73149,0.3112,1.96653,1.00243,1.22753,0.000957358,0.000957358,0.000957358
45,931.058,1.48596,0.74948,0.98829,0.76142,0.71788,0.74875,0.31988,1.97764,0.97321,1.2344,0.000940855,0.000940855,0.000940855
46,951.138,1.50506,0.76071,0.98948,0.74058,0.74661,0.74915,0.3043,2.00151,0.99831,1.25616,0.000924352,0.000924352,0.000924352
47,971.343,1.49635,0.75398,0.98274,0.75499,0.68564,0.73015,0.30816,1.9913,0.99488,1.23911,0.000907848,0.000907848,0.000907848
48,992.169,1.4753,0.74047,0.97572,0.7513,0.70867,0.73338,0.30725,2.0082,0.94194,1.24513,0.000891345,0.000891345,0.000891345
49,1012.18,1.45356,0.72748,0.97215,0.77336,0.68892,0.75455,0.31764,2.00317,0.96268,1.2561,0.000874842,0.000874842,0.000874842
50,1032.86,1.46885,0.73686,0.97482,0.78813,0.7168,0.763,0.31341,1.99265,0.96368,1.2535,0.000858338,0.000858338,0.000858338
51,1054.56,1.45359,0.72774,0.97101,0.76582,0.72672,0.75058,0.31443,1.99433,0.99875,1.23203,0.000841835,0.000841835,0.000841835
52,1074.92,1.46373,0.72583,0.97033,0.76635,0.7111,0.74974,0.3194,1.98212,0.95102,1.24598,0.000825332,0.000825332,0.000825332
53,1095.1,1.41239,0.70269,0.95778,0.74551,0.7019,0.7352,0.30827,1.9624,0.98295,1.24927,0.000808828,0.000808828,0.000808828
54,1115.37,1.43011,0.71231,0.96155,0.77386,0.73264,0.75209,0.31407,1.9677,0.96679,1.23841,0.000792325,0.000792325,0.000792325
55,1136.51,1.41415,0.7091,0.95856,0.76153,0.71545,0.74968,0.31738,1.97078,0.97863,1.24947,0.000775822,0.000775822,0.000775822
56,1156.49,1.41295,0.70911,0.95516,0.74579,0.73442,0.76055,0.3279,1.9793,0.91562,1.24055,0.000759318,0.000759318,0.000759318
57,1177.12,1.39987,0.69318,0.95009,0.76682,0.73442,0.75601,0.31495,1.97922,0.95279,1.26524,0.000742815,0.000742815,0.000742815
58,1197.82,1.40325,0.70556,0.95767,0.7434,0.73035,0.74486,0.31553,2.00285,0.97021,1.25062,0.000726312,0.000726312,0.000726312
59,1219.46,1.37614,0.69087,0.948,0.79102,0.72493,0.76576,0.32361,1.98685,0.93497,1.25494,0.000709809,0.000709809,0.000709809
60,1239.97,1.35512,0.68049,0.95073,0.7895,0.70732,0.75303,0.31682,2.00811,0.95483,1.26492,0.000693305,0.000693305,0.000693305
61,1260.52,1.3652,0.6751,0.94666,0.7862,0.70867,0.76523,0.32798,1.99316,0.94063,1.26229,0.000676802,0.000676802,0.000676802
62,1281.09,1.37427,0.68986,0.94403,0.73067,0.73153,0.74677,0.31751,1.98164,0.93298,1.26718,0.000660299,0.000660299,0.000660299
63,1301.13,1.33833,0.67015,0.94021,0.77486,0.71816,0.76516,0.32037,2.03148,0.94077,1.2615,0.000643795,0.000643795,0.000643795
64,1320.62,1.36048,0.67668,0.94289,0.79283,0.72599,0.76954,0.32381,2.00685,0.92195,1.25872,0.000627292,0.000627292,0.000627292
65,1340.91,1.33355,0.66441,0.93899,0.79853,0.73578,0.76717,0.33056,1.98755,0.93174,1.26726,0.000610789,0.000610789,0.000610789
66,1361.54,1.31666,0.65365,0.93361,0.77857,0.72764,0.76149,0.32378,1.98914,0.94804,1.25487,0.000594286,0.000594286,0.000594286
67,1382.37,1.31025,0.65455,0.93316,0.76195,0.75339,0.77142,0.32457,1.99397,0.93937,1.27608,0.000577782,0.000577782,0.000577782
68,1403.1,1.31337,0.65751,0.93183,0.77159,0.7561,0.7657,0.32796,1.96411,0.94851,1.25016,0.000561279,0.000561279,0.000561279
